mecA2	2
mecB	2
mef(F)	2
mph(E)	2
mphM	2
msr(C)	2
msr(D)	2
mupA	2
npmB	2
otr(A)	2
poxtA	2
qacA	2
qacB	2
qacH	2
rmtD	2
rmtE	2
rmtF	2
rox	2
satA	2
tet(32)	2
tet(33)	2
tet(44)	2
tet(59)	2
tet(J)	2
tet(K)	2
tet(O/W/O)	2
tet(T)	2
tet(W/N/W)	2
tet(X3)	2
tet(X5)	2
tet(Y)	2
tetA(60)	2
tetB(60)	2
toprJ	2
vanH-A	2
vanS-A	2
vanS-G	2
vanS-Pt	2
vanT-G	2
vanTc	2
vanW-G	2
vanXY	2
vanY-A	2
vanY-B	2
vanZ-A	2
vga(E)	2
vga(F)	2
vgb(A)	2
(blaOXY)	1
(blaTEM)	1
(erm(46))	1
aac(2')-I(A267)	1
aac(2')-IIa	1
aac(2')-IIb	1
aac(2')-Ia	1
aac(2')-Ib	1
aac(2')-Ic	1
aac(2')-Id	1
aac(2')-Ie	1
aac(3)-C1264	1
aac(3)-C322	1
aac(3)-IIIa	1
aac(3)-IIIb	1
aac(3)-IIIc	1
aac(3)-IIa	1
aac(3)-IIb	1
aac(3)-IIc	1
aac(3)-IIg	1
aac(3)-IVa	1
aac(3)-IVb	1
aac(3)-IXa	1
aac(3)-Ib/aac(6')-Ib''	1
aac(3)-Ic	1
aac(3)-Ig	1
aac(3)-Ii	1
aac(3)-VIIa	1
aac(3)-XI	1
aac(3)-Xa	1
aac(6')-30	1
aac(6')-30/aac(6')-Ib'	1
aac(6')-35	1
aac(6')-D292	1
aac(6')-D42	1
aac(6')-E111	1
aac(6')-E141	1
aac(6')-E449	1
aac(6')-E526	1
aac(6')-E550	1
aac(6')-E553	1
aac(6')-E606	1
aac(6')-E64	1
aac(6')-E657	1
aac(6')-E963	1
aac(6')-F309	1
aac(6')-F72	1
aac(6')-Iad	1
aac(6')-Iap	1
aac(6')-Ib'	1
aac(6')-Id	1
aac(6')-Ie/aph(2'')	1
aac(6')-Ie/aph(2'')-If2	1
aac(6')-Ip	1
aac(6')-Iq	1
aac(6')-kana	1
aacA10	1
aacA32	1
aacA37	1
aacA38	1
aacA40	1
aacA48	1
aacA49	1
aacA57-2	1
aacA8	1
aad9	1
aadA27	1
aadD2	1
aadE	1
aadE-Cc	1
aadK	1
aadS	1
almE	1
almF	1
almG	1
ant(3'')-IIb	1
ant(3'')-Ib	1
ant(3'')-Ih/aac(6')-IId	1
ant(3'')-Ij/aac(6')-IIa	1
ant(3'')-Ij/aac(6')-Ib	1
ant(4')-IIa	1
ant(4')-IIb	1
ant(4')-Ic	1
ant(6)-Ib	1
ant(6)-Ic	1
ant(9)-Ia	1
ant(9)-Ib	1
aph(2'')-G141	1
aph(2'')-IIIa	1
aph(2'')-IVa	1
aph(2'')-Ie	1
aph(2'')-Ig	1
aph(2'')-Ih	1
aph(3'')-Ic	1
aph(3')-H48	1
aph(3')-H510	1
aph(3')-I(H957)	1
aph(3')-II	1
aph(3')-IIa	1
aph(3')-IVa	1
aph(3')-IX	1
aph(3')-Id	1
aph(3')-VI	1
aph(3')-VIIIa	1
aph(3')-VIIIb	1
aph(3')-VIIa	1
aph(3')-VIa	1
aph(3')-VIb	1
aph(3')-Vc	1
aph(4)-Ia	1
aph(6)-Ib	1
aph(6)-Ic	1
aph(7'')-Ia	1
aph(9)-Ib	1
